obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3712679702.82,7,3.50612998009,3742013590.78,3742013591.2,3712679702.82,0.0,internal_timestamp,77.0729980469,1503690902.82,33.8312988281,1,7.89419984818,1026.72766927,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('1',)",3712679702.89,7,3.50612998009,3742013590.78,3742013591.2,3712679702.89,0.0,internal_timestamp,77.0709991455,1503690902.89,33.8312988281,0,7.89419984818,1026.72766008,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('2',)",3712679702.95,7,3.50528001785,3742013590.78,3742013591.2,3712679702.95,0.0,internal_timestamp,77.0650024414,1503690902.95,33.8219985962,0,7.89440011978,1026.72030328,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('3',)",3712679703.01,7,3.50612998009,3742013590.78,3742013591.2,3712679703.01,0.0,internal_timestamp,77.0729980469,1503690903.01,33.8312988281,0,7.89419984818,1026.72766927,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('4',)",3712679703.08,7,3.50612998009,3742013590.78,3742013591.2,3712679703.08,0.0,internal_timestamp,77.0709991455,1503690903.08,33.8311004639,0,7.89440011978,1026.72747481,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('5',)",3712679703.14,7,3.5033800602,3742013590.78,3742013591.2,3712679703.14,0.0,internal_timestamp,77.0650024414,1503690903.14,33.8017997742,0,7.89419984818,1026.70447907,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('6',)",3712679703.2,7,3.50423002243,3742013590.78,3742013591.2,3712679703.2,0.0,internal_timestamp,77.06300354,1503690903.2,33.810798645,0,7.89419984818,1026.71153296,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('7',)",3712679703.27,7,3.50489997864,3742013590.78,3742013591.2,3712679703.27,0.0,internal_timestamp,77.0650024414,1503690903.27,33.8179016113,0,7.89429998398,1026.71710239,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('8',)",3712679703.33,7,3.50418996811,3742013590.78,3742013591.2,3712679703.33,0.0,internal_timestamp,77.0650024414,1503690903.33,33.8103981018,0,7.89429998398,1026.71121299,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('9',)",3712679703.39,7,3.50375008583,3742013590.78,3742013591.2,3712679703.39,0.0,internal_timestamp,77.06199646,1503690903.39,33.8056983948,0,7.89429998398,1026.70751044,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('10',)",3712679703.45,7,3.50381994247,3742013590.78,3742013591.2,3712679703.45,0.0,internal_timestamp,77.0650024414,1503690903.45,33.8063011169,0,7.89429998398,1026.70799732,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('11',)",3712679703.52,7,3.50435996056,3742013590.78,3742013591.2,3712679703.52,0.0,internal_timestamp,77.06300354,1503690903.52,33.8120994568,0,7.89440011978,1026.71252438,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('12',)",3712679703.58,7,3.50504994392,3742013590.78,3742013591.2,3712679703.58,0.0,internal_timestamp,77.0640029907,1503690903.58,33.8194007874,0,7.89449977875,1026.71824498,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('13',)",3712679703.64,7,3.50572991371,3742013590.78,3742013591.2,3712679703.64,0.0,internal_timestamp,77.06199646,1503690903.64,33.8265991211,0,7.89459991455,1026.72387085,29,13,29,29,29,29,29,29,29,29,44.6355,-124.30293
"('14',)",3712679703.7,7,3.50625991821,3742013590.78,3742013591.2,3712679703.7,0.0,internal_timestamp,77.06300354,1503690903.7,33.8320999146,0,7.89470005035,1026.72817821,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('15',)",3712679703.77,7,3.50660991669,3742013590.78,3742013591.2,3712679703.77,0.0,internal_timestamp,77.0589981079,1503690903.77,33.8358001709,0,7.89480018616,1026.73104929,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('16',)",3712679703.83,7,3.50681996346,3742013590.78,3742013591.2,3712679703.83,0.0,internal_timestamp,77.0599975586,1503690903.83,33.8381004333,0,7.89480018616,1026.73285934,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('17',)",3712679703.89,7,3.50695991516,3742013590.78,3742013591.2,3712679703.89,0.0,internal_timestamp,77.0569992065,1503690903.89,33.8395996094,0,7.89480018616,1026.73402225,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('18',)",3712679703.95,7,3.50705003738,3742013590.78,3742013591.2,3712679703.95,0.0,internal_timestamp,77.0579986572,1503690903.95,33.8404998779,0,7.89480018616,1026.73473345,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('19',)",3712679704.02,7,3.50711011887,3742013590.78,3742013591.2,3712679704.02,0.0,internal_timestamp,77.0559997559,1503690904.02,33.8410987854,0,7.89480018616,1026.73519434,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('20',)",3712679704.08,7,3.50714993477,3742013590.78,3742013591.2,3712679704.08,0.0,internal_timestamp,77.0559997559,1503690904.08,33.8415985107,0,7.89489984512,1026.73557185,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('21',)",3712679704.14,7,3.50720000267,3742013590.78,3742013591.21,3712679704.14,0.0,internal_timestamp,77.0520019531,1503690904.14,33.841999054,0,7.89489984512,1026.73586785,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('22',)",3712679704.2,7,3.50723004341,3742013590.78,3742013591.21,3712679704.2,0.0,internal_timestamp,77.0540008545,1503690904.2,33.842300415,0,7.89499998093,1026.73609879,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('23',)",3712679704.26,7,3.50727009773,3742013590.78,3742013591.21,3712679704.26,0.0,internal_timestamp,77.0510025024,1503690904.26,33.8427009583,0,7.89499998093,1026.73639938,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('24',)",3712679704.33,7,3.50729990005,3742013590.78,3742013591.21,3712679704.33,0.0,internal_timestamp,77.047996521,1503690904.33,33.8428993225,0,7.89510011673,1026.73652646,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('25',)",3712679704.89,7,3.50730991364,3742013590.78,3742013591.21,3712679704.89,0.0,internal_timestamp,77.047996521,1503690904.89,33.8431015015,0,7.89510011673,1026.73668515,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
"('26',)",3712679704.9,7,3.50730991364,3742013590.78,3742013591.21,3712679704.9,0.0,internal_timestamp,77.047996521,1503690904.9,33.8431015015,0,7.89510011673,1026.73668515,29,13,29,29,29,29,29,13,29,29,44.6355,-124.30293
