obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3655325087.96,2,33.4043006897,3724598756.05,3724598756.12,3655325087.96,0.0,internal_timestamp,534.979980469,956326,1446336287,5.56589984894,3.34043006897,34.0827633248,1029.35327879,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('1',)",3655325098.95,2,33.4179000854,3724598756.05,3724598756.12,3655325098.95,0.0,internal_timestamp,533.520019531,952908,1446336298,5.58109998703,3.34179000854,34.0835749872,1029.34519847,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('2',)",3655325109.96,2,33.4201011658,3724598756.05,3724598756.12,3655325109.96,0.0,internal_timestamp,532.0,957637,1446336309,5.58319997787,3.34201011658,34.0847041867,1029.33883714,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('3',)",3655325120.95,2,33.4193000793,3724598756.05,3724598756.12,3655325120.95,0.0,internal_timestamp,530.530029297,953608,1446336320,5.5841999054,3.34193000793,34.0835155979,1029.33102659,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('4',)",3655325131.96,2,33.42029953,3724598756.05,3724598756.12,3655325131.96,0.0,internal_timestamp,529.08001709,959594,1446336331,5.58459997177,3.342029953,34.0849622531,1029.32546247,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('5',)",3655325142.95,2,33.42029953,3724598756.05,3724598756.12,3655325142.95,0.0,internal_timestamp,527.429992676,954536,1446336342,5.58610010147,3.342029953,34.0842663968,1029.31714721,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('6',)",3655325153.96,2,33.4275016785,3724598756.05,3724598756.12,3655325153.96,0.0,internal_timestamp,525.799987793,960783,1446336353,5.59619998932,3.34275016785,34.0830522703,1029.30737024,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('7',)",3655325164.96,2,33.4406013489,3724598756.05,3724598756.12,3655325164.96,0.0,internal_timestamp,524.020019531,957561,1446336364,5.61350011826,3.34406013489,34.0813354483,1029.29554913,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('8',)",3655325175.96,2,33.4432983398,3724598756.05,3724598756.12,3655325175.96,0.0,internal_timestamp,522.200012207,963275,1446336375,5.61590003967,3.34432983398,34.0828713396,1029.28809167,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('9',)",3655325186.96,2,33.426399231,3724598756.05,3724598756.12,3655325186.96,0.0,internal_timestamp,520.049987793,957899,1446336386,5.59539985657,3.3426399231,34.0854552744,1029.28299619,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('10',)",3655325197.96,2,33.4411010742,3724598756.05,3724598756.12,3655325197.96,0.0,internal_timestamp,517.729980469,962214,1446336397,5.61490011215,3.34411010742,34.0836020624,1029.26829883,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
