obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",31.4696006775,1,0,1041.11245665,29,29,2,3.14696006775,29,13,3746540982.22,3746540982.34,3655886456.31,44.52757,-125.38075,0.0,34.6456728399,29,29,internal_timestamp,2926.23999023,29,29,309802,1446897656,1.71440005302,29,29,3655886456.31
"('1',)",31.468000412,1,0,1041.09953123,29,29,2,3.1468000412,29,13,3746540982.22,3746540982.34,3655886467.31,44.52757,-125.38075,0.0,34.645348783,29,29,internal_timestamp,2923.37011719,29,29,311938,1446897667,1.71410000324,29,29,3655886467.31
"('2',)",31.4666004181,1,0,1041.08633102,29,29,2,3.14666004181,29,13,3746540982.22,3746540982.34,3655886478.32,44.52757,-125.38075,0.0,34.6452061347,29,29,internal_timestamp,2920.40991211,29,29,324878,1446897678,1.71389997005,29,29,3655886478.32
"('3',)",31.4652004242,1,0,1041.0733845,29,29,2,3.14652004242,29,13,3746540982.22,3746540982.34,3655886489.31,44.52757,-125.38075,0.0,34.6453876109,29,29,internal_timestamp,2917.43994141,29,29,312792,1446897689,1.71340000629,29,29,3655886489.31
"('4',)",31.4655990601,1,0,1041.06122502,29,29,2,3.14655990601,29,13,3746540982.22,3746540982.34,3655886499.31,44.52757,-125.38075,0.0,34.6452981173,29,29,internal_timestamp,2914.77001953,29,29,312645,1446897699,1.71510004997,29,29,3655886499.31
"('5',)",31.4654998779,1,0,1041.0595246,29,29,2,3.14654998779,29,13,3746540982.22,3746540982.34,3655886511.31,44.52757,-125.38075,0.0,34.6452405721,29,29,internal_timestamp,2914.39990234,29,29,310103,1446897711,1.71519994736,29,29,3655886511.31
"('6',)",31.4652996063,1,0,1041.05647403,29,29,2,3.14652996063,29,13,3746540982.22,3746540982.34,3655886522.31,44.52757,-125.38075,0.0,34.6455532173,29,29,internal_timestamp,2913.64990234,29,29,305912,1446897722,1.71500003338,29,29,3655886522.31
"('7',)",31.4643993378,1,0,1041.04645508,29,29,2,3.14643993378,29,13,3746540982.22,3746540982.34,3655886532.32,44.52757,-125.38075,0.0,34.6452489768,29,29,internal_timestamp,2911.44995117,29,29,315819,1446897732,1.71519994736,29,29,3655886532.32
"('8',)",31.4631996155,1,0,1041.03276958,29,29,2,3.14631996155,29,13,3746540982.22,3746540982.34,3655886544.31,44.52757,-125.38075,0.0,34.6455474343,29,29,internal_timestamp,2908.30004883,29,29,309412,1446897744,1.71490001678,29,29,3655886544.31
"('9',)",31.4620990753,1,0,1041.01971536,29,29,2,3.14620990753,29,13,3746540982.22,3746540982.34,3655886555.32,44.52757,-125.38075,0.0,34.6456722109,29,29,internal_timestamp,2905.33007812,29,29,318053,1446897755,1.71480000019,29,29,3655886555.32
"('10',)",31.460899353,1,0,1041.00644996,29,29,2,3.1460899353,29,13,3746540982.22,3746540982.34,3655886566.31,44.52757,-125.38075,0.0,34.645453334,29,29,internal_timestamp,2902.37988281,29,29,309691,1446897766,1.71490001678,29,29,3655886566.31
"('11',)",31.4598999023,1,0,1040.99415163,29,29,2,3.14598999023,29,13,3746540982.22,3746540982.34,3655886577.31,44.52757,-125.38075,0.0,34.6453928759,29,29,internal_timestamp,2899.62011719,29,29,312410,1446897777,1.71500003338,29,29,3655886577.31
"('12',)",31.4589996338,1,0,1040.9822313,29,29,2,3.14589996338,29,13,3746540982.22,3746540982.34,3655886588.31,44.52757,-125.38075,0.0,34.6454224016,29,29,internal_timestamp,2896.92993164,29,29,314909,1446897788,1.71510004997,29,29,3655886588.31
"('13',)",31.4575996399,1,0,1040.97038801,29,29,2,3.14575996399,29,13,3746540982.22,3746540982.34,3655886598.38,44.52757,-125.38075,0.0,34.6452456558,29,29,internal_timestamp,2894.2800293,29,29,382296,1446897798,1.71480000019,29,29,3655886598.38
"('14',)",31.4564990997,1,0,1040.95632017,29,29,2,3.14564990997,29,13,3746540982.22,3746540982.34,3655886610.32,44.52757,-125.38075,0.0,34.6452512468,29,29,internal_timestamp,2891.11010742,29,29,315114,1446897810,1.71490001678,29,29,3655886610.32
