obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3750090886.31,11,3.62869000435,3767111117.48,3767111255.78,3750090886.31,0.0,internal_timestamp,68.6449966431,1541102086.31,33.7265014648,0,9.35849952698,1026.37966056,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('1',)",3750090887.21,11,3.62853002548,3767111117.48,3767111255.78,3750090887.21,0.0,internal_timestamp,68.638999939,1541102087.21,33.7270011902,0,9.3562002182,1026.38039809,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('2',)",3750090887.21,11,3.62837004662,3767111117.48,3767111255.78,3750090887.21,0.0,internal_timestamp,68.6309967041,1541102087.21,33.7274017334,0,9.35400009155,1026.38103277,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('3',)",3750090887.22,11,3.62819004059,3767111117.48,3767111255.78,3750090887.22,0.0,internal_timestamp,68.6179962158,1541102087.22,33.7276992798,0,9.3516998291,1026.38158042,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('4',)",3750090887.23,11,3.62801003456,3767111117.48,3767111255.78,3750090887.23,0.0,internal_timestamp,68.6050033569,1541102087.23,33.7281990051,0,9.34920024872,1026.3823185,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('5',)",3750090887.23,11,3.62788009644,3767111117.48,3767111255.78,3750090887.23,0.0,internal_timestamp,68.5950012207,1541102087.23,33.7288017273,0,9.34700012207,1026.38310194,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('6',)",3750090887.24,11,3.62782001495,3767111117.48,3767111255.78,3750090887.24,0.0,internal_timestamp,68.5849990845,1541102087.24,33.7293014526,0,9.34589958191,1026.38362596,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('7',)",3750090887.24,11,3.62788009644,3767111117.48,3767111255.78,3750090887.24,0.0,internal_timestamp,68.5729980469,1541102087.24,33.7294006348,0,9.34650039673,1026.38355103,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('8',)",3750090887.25,11,3.62803006172,3767111117.48,3767111255.78,3750090887.25,0.0,internal_timestamp,68.5599975586,1541102087.25,33.7290992737,0,9.34840011597,1026.38294716,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('9',)",3750090887.25,11,3.62815999985,3767111117.48,3767111255.78,3750090887.25,0.0,internal_timestamp,68.5500030518,1541102087.25,33.7285995483,0,9.35050010681,1026.38216933,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('10',)",3750090887.26,11,3.62823009491,3767111117.48,3767111255.78,3750090887.26,0.0,internal_timestamp,68.5390014648,1541102087.26,33.728099823,0,9.3516998291,1026.38153338,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('11',)",3750090887.27,11,3.62824010849,3767111117.48,3767111255.78,3750090887.27,0.0,internal_timestamp,68.5240020752,1541102087.27,33.7280006409,0,9.35190010071,1026.3813549,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('12',)",3750090887.27,11,3.62824010849,3767111117.48,3767111255.78,3750090887.27,0.0,internal_timestamp,68.5130004883,1541102087.27,33.7280006409,0,9.35200023651,1026.38128845,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('13',)",3750090887.28,11,3.62828993797,3767111117.48,3767111255.67,3750090887.28,0.0,internal_timestamp,68.5,1541102087.28,33.7276000977,0,9.35289955139,1026.38076979,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
